positive,Russian oil tankers get India safety cover via Dubai company - Reuters India
negative,"Market Movers Europe, June 13-17: Realignments in world oil trade underway as EU sanctions on Russia intensify - S&P Global"
negative,"Dow Hits Fourth Week Of Losses, Oil Nears $120 Per Barrel As Russiaâs Invasion Of Ukraine Continues - Forbes"
negative,"Shelling of Ukraine's Sievierodonetsk plant causes oil leak and fire, governor says - Reuters"
negative,Pakistan Should Forget Buying Russian Oil For The Time Being â OpEd - Eurasia Review
positive,"Millions of Barrels of Russian Oil, Products Head for U.S. Ports - Bloomberg"
positive,"ANALYSIS-China's teapots crank back to life, aided by cheap Russian oil - Nasdaq"
negative,Marathon Petroleum Snaps Up Ecuador's Oil After Russian Sanctions - Bloomberg
negative,Iran Slashes the Cost of Its Oil to Compete With Russia in China - Bloomberg
negative,Germany to Stop Russian Oil Imports Regardless of EU Sanctions - Bloomberg
neutral,Kazakhstan renames its export oil to avoid Russia sanctions risk | Daily Sabah - Daily Sabah
negative,Norway arrests activists blocking tanker unloading Russian oil - Reuters
negative,"Colombia stepping up oil, coal production amid Russia sanctions - MINING.COM - MINING.com"
negative,"World's Dirtiest Oil and Gas Fields Are in Russia, Turkmenistan and Texas - Bloomberg"
negative,Germany makes push to quit Russian oil by late summer - PBS NewsHour
